Číslo obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Česká národní fronta,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
554171,Šenov u Nového Jičína,1 669,1 037,1 033,99,0,1,105,1,18,59,27,7,30,1,4,100,2,0,32,325,0,0,67,0,5,2,0,146,2
599948,Štramberk,2 799,1 722,1 718,180,2,7,122,2,54,133,27,12,9,1,2,185,0,3,29,536,4,1,139,0,23,3,2,232,10
599956,Tichá,1 385,915,908,83,3,1,71,1,27,72,16,9,3,4,3,66,0,0,24,289,2,9,89,1,4,1,3,126,1
599964,Tísek,764,495,490,33,0,0,30,0,17,75,2,3,5,0,0,23,0,2,7,165,0,1,67,0,2,2,1,55,0
569755,Trnávka,594,371,370,21,0,0,42,0,14,37,4,1,2,1,1,20,0,0,14,148,0,0,8,0,5,4,3,45,0
599999,Trojanovice,2 046,1 340,1 335,138,1,0,79,2,40,73,28,8,16,1,4,135,0,3,49,464,5,2,118,0,11,1,4,150,3
568422,Velké Albrechtice,895,540,532,31,0,1,42,0,21,47,7,5,2,0,1,53,1,0,4,236,1,2,17,0,2,0,1,54,4
500259,Veřovice,1 629,952,948,49,0,1,103,1,25,63,21,13,8,1,1,97,0,2,10,283,1,0,126,0,8,7,1,127,0
554910,Vražné,688,410,406,16,0,1,24,2,0,34,11,4,4,0,0,30,0,0,3,162,0,1,37,0,1,0,5,70,1
569747,Vrchy,179,118,118,0,0,0,8,0,0,13,0,2,1,0,0,9,0,0,1,47,0,0,10,0,0,0,1,26,0
568473,Závišice,792,572,568,57,0,0,49,2,17,20,12,2,14,0,3,36,0,0,20,177,2,1,89,0,1,0,1,61,4
568732,Ženklava,867,487,486,29,0,0,37,0,14,39,7,3,2,1,1,61,0,1,10,157,4,1,30,0,5,1,2,77,4
547000,Životice u Nového Jičína,526,343,340,22,0,0,24,0,0,32,6,2,4,1,0,35,0,0,3,101,1,1,42,1,2,2,0,61,0
